,회사명,유동자산증가율,재고자산증가율,0,1,2,3
253,(주)광명전기,-11.39,-23.69,-17.96,-11.39,-26.3,-23.69
254,(주)광명전기,-12.96,-29.01,-1.42,-12.96,-16.47,-29.01
255,(주)광명전기,0.73,8.45,4.09,0.73,3.0,8.45
256,(주)광명전기,-3.91,12.82,-7.27,-3.91,19.12,12.82
257,(주)광명전기,24.5,-29.79,28.66,24.5,-29.34,-29.79
258,(주)광무,-56.87,40.57,-53.47,-56.87,43.88,40.57
259,(주)광무,-36.72,-31.64,-54.7,-36.72,-50.38,-31.64
260,(주)광무,-39.8,-32.89,-56.81,-39.8,-95.49,-32.89
261,(주)광무,34.87,-7.5,34.87,-22.38,-7.5,117.65
262,(주)광무,-44.21,106.72,-44.21,11111111.11,106.72,11111111.11
263,(주)광무,124.99,49.82,124.99,11111111.11,49.82,11111111.11
264,(주)광무,25.69,-73.58,25.69,11111111.11,-73.58,11111111.11
265,(주)광무,-15.84,51.75,-15.84,11111111.11,51.75,11111111.11
266,(주)광무,127.19,-11.51,164.13,127.19,68.56,-11.51
267,(주)광주신세계,25.98,34.23,684.91,-71.73,925.6,2097.15
268,(주)광주신세계,10.3,-6.29,10.3,11111111.11,-6.29,11111111.11
269,(주)광주신세계,-91.01,-4.79,-91.01,11111111.11,-4.79,11111111.11
270,(주)광주신세계,-5.07,6.79,-5.07,11111111.11,6.79,11111111.11
271,(주)광주신세계,36.43,8.43,36.43,11111111.11,8.43,11111111.11
272,(주)광주신세계,-3.24,6.75,-3.24,11111111.11,6.75,11111111.11
273,(주)광주신세계,2.52,-1.36,2.52,11111111.11,-1.36,11111111.11
274,(주)광주신세계,133.14,-51.31,133.14,11111111.11,-51.31,11111111.11
275,(주)광주신세계,33.1,6.45,33.1,11111111.11,6.45,11111111.11
276,(주)구영테크,10.21,2.89,-60.43,429.58,94.68,37.6
277,(주)구영테크,12.75,23.0,19.95,12.75,34.86,23.0
278,(주)구영테크,-19.07,-5.16,-25.68,-19.07,2.41,-5.16
279,(주)구영테크,6.37,22.12,11.64,6.37,6.59,22.12
280,(주)구영테크,3.01,-9.04,1.05,3.01,-16.2,-9.04
281,(주)구영테크,-7.98,-0.05,-3.95,-7.98,15.3,-0.05
282,(주)구영테크,18.47,1.54,32.06,18.47,4.07,1.54
283,(주)구영테크,-5.29,57.14,-17.13,-5.29,28.33,57.14
284,(주)구영테크,15.51,8.89,-13.06,15.51,-7.53,8.89
285,(주)국동,-3.65,-15.6,-39.46,-43.83,-15.42,-47.93
286,(주)국동,-0.16,-9.13,-20.8,-0.16,1.64,-9.13
287,(주)국동,23.61,40.62,35.7,23.61,22.67,40.62
288,(주)국동,24.28,-0.91,47.89,24.28,-17.57,-0.91
289,(주)국동,5.71,23.15,-4.36,5.71,65.51,23.15
290,(주)국동,30.28,14.46,48.64,30.28,13.96,14.46
291,(주)국동,-20.31,-1.58,-22.88,-20.31,-16.31,-1.58
292,(주)국동,26.26,3.9,18.68,26.26,-9.01,3.9
293,(주)국동,6.9,-1.03,16.73,6.9,-5.41,-1.03
294,(주)국보,11.94,4.11,-27.25,-53.84,-94.01,-97.91
295,(주)국보,-5.34,10.14,-8.49,-5.34,10.14,10.14
296,(주)국보,-4.38,0.64,-2.23,-4.38,0.64,0.64
297,(주)국보,-15.36,-11.09,-15.11,-15.36,-11.09,-11.09
298,(주)국보,-15.5,-37.89,-14.98,-15.5,-37.89,-37.89
299,(주)국보,-2.66,-8.83,-4.46,-2.66,-8.83,-8.83
300,(주)국보,-28.86,7.62,-27.7,-28.86,7.62,7.62
301,(주)국보,-36.54,-12.53,-34.84,-36.54,-12.53,-12.53
302,(주)국보,499.18,12147.46,49.19,499.18,-4.47,12147.47
303,(주)국보디자인,8.52,-100.0,230.7,-15.62,-100.0,-100.0
304,(주)국보디자인,25.04,1254789.63,27.25,25.04,11111111.11,11111111.11
305,(주)국보디자인,38.38,1254789.63,30.84,38.38,11111111.11,11111111.11
306,(주)국보디자인,3.98,1254789.63,4.18,3.98,11111111.11,11111111.11
307,(주)국보디자인,0.12,1254789.63,-2.53,0.12,11111111.11,11111111.11
308,(주)국보디자인,20.44,1254789.63,22.63,20.44,11111111.11,11111111.11
309,(주)국보디자인,5.15,1254789.63,7.56,5.15,11111111.11,11111111.11
310,(주)국보디자인,4.95,1254789.63,0.25,4.95,11111111.11,11111111.11
311,(주)국보디자인,36.86,1254789.63,32.91,36.86,11111111.11,11111111.11
312,(주)국순당,-57.7,inf,-54.35,-57.7,inf,inf
313,(주)국순당,6.06,-0.9,4.78,6.06,-1.1,-0.9
314,(주)국순당,15.04,0.27,3.83,15.04,-8.92,0.27
315,(주)국순당,-1.25,-5.25,2.21,-1.25,-12.45,-5.25
316,(주)국순당,-2.09,-3.02,-3.9,-2.09,-0.83,-3.02
317,(주)국순당,-12.3,0.14,-13.27,-12.3,-7.2,0.14
318,(주)국순당,1.63,-4.14,5.06,1.63,-7.37,-4.14
319,(주)국순당,-15.86,4.31,-16.68,-15.86,7.17,4.31
320,(주)국순당,8.13,7.58,-3.19,8.13,-3.7,7.58
321,(주)국영지앤엠,10.06,-22.84,-58.56,-85.91,-85.68,-30.63
322,(주)국영지앤엠,-16.25,6.03,-16.25,11111111.11,6.03,11111111.11
323,(주)국영지앤엠,18.49,-0.4,18.49,11111111.11,-0.4,11111111.11
324,(주)국영지앤엠,-9.75,13.53,-9.75,11111111.11,13.53,11111111.11
325,(주)국영지앤엠,23.45,-25.92,23.45,11111111.11,-25.92,11111111.11
326,(주)국영지앤엠,5.94,205.02,5.94,11111111.11,205.02,11111111.11
327,(주)국영지앤엠,1.42,-21.27,1.42,11111111.11,-21.27,11111111.11
328,(주)국영지앤엠,-16.19,-17.34,-16.19,11111111.11,-17.34,11111111.11
329,(주)국영지앤엠,27.57,-2.08,27.57,11111111.11,-2.08,11111111.11
330,(주)국전약품,0.0,0.0,-65.35,0.0,329.56,0.0
331,(주)국전약품,1254789.63,1254789.63,11111111.11,11111111.11,11111111.11,11111111.11
332,(주)그래디언트,-35.22,21.85,116.31,2405.01,-100.0,264.92
333,(주)그래디언트,-13.6,-14.32,-40.46,-13.6,11111111.11,-14.32
334,(주)그래디언트,307.13,96.61,-88.02,307.13,11111111.11,96.61
335,(주)그래디언트,16.73,17.48,118.25,16.73,11111111.11,17.48
336,(주)그래디언트,17.06,72.45,-74.63,17.06,11111111.11,72.45
337,(주)그래디언트,5.81,-14.8,-58.39,5.81,11111111.11,-14.8
338,(주)그래디언트,-13.12,17.02,710.36,-13.12,11111111.11,17.02
339,(주)그래디언트,2.61,20.98,-16.46,2.61,11111111.11,20.98
340,(주)그래디언트,-4.37,-48.76,-92.22,-4.37,11111111.11,-48.76
341,(주)그리티,37.56,9.27,36279.76,-92.62,inf,-52.71
342,(주)그리티,-7.3,4.35,-9.33,-7.3,6.3,4.35
343,(주)그린플러스,36.93,-4.38,-58.35,-53.42,-82.1,-85.74
344,(주)글로벌스탠다드테크놀로지,38.31,171.3,11111111.11,11111111.11,11111111.11,11111111.11
345,(주)글로벌스탠다드테크놀로지,-6.78,19.18,-13.8,-6.78,17.65,19.18
346,(주)글로벌스탠다드테크놀로지,19.04,-1.79,25.5,19.04,-0.49,-1.79
347,(주)글로벌스탠다드테크놀로지,14.16,-22.23,12.58,14.16,-23.88,-22.23
348,(주)글로벌스탠다드테크놀로지,-17.63,-26.83,-20.54,-17.63,-29.72,-26.83
349,(주)글로벌스탠다드테크놀로지,52.09,137.63,51.91,52.09,133.45,137.63
350,(주)글로벌스탠다드테크놀로지,7.6,-0.84,0.19,7.6,-7.01,-0.84
