,회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원),0,1
315,(주)국순당,43650,Dec-14,186838479,196810690,0.46,1.15
316,(주)국순당,43650,Dec-15,186118215,198167277,-0.39,0.69
317,(주)국순당,43650,Dec-16,183188543,194018641,-1.57,-2.09
318,(주)국순당,43650,Dec-17,191745752,221539252,4.67,14.18
319,(주)국순당,43650,Dec-18,203499644,215679919,6.13,-2.64
320,(주)국순당,43650,Dec-19,196923842,204958649,-3.23,-4.97
321,(주)국영지앤엠,6050,Dec-11,32733005,11111111.11,-83.38,-94.58
322,(주)국영지앤엠,6050,Dec-12,45960267,11111111.11,40.41,
323,(주)국영지앤엠,6050,Dec-13,46345349,11111111.11,0.84,
324,(주)국영지앤엠,6050,Dec-14,47240880,11111111.11,1.93,
325,(주)국영지앤엠,6050,Dec-15,48972537,11111111.11,3.67,
326,(주)국영지앤엠,6050,Dec-16,50558041,11111111.11,3.24,
327,(주)국영지앤엠,6050,Dec-17,52611544,11111111.11,4.06,
328,(주)국영지앤엠,6050,Dec-18,51748308,11111111.11,-1.64,
329,(주)국영지앤엠,6050,Dec-19,52826451,11111111.11,2.08,
330,(주)국전약품,307750,Dec-18,11111111.11,11111111.11,-78.97,0
331,(주)국전약품,307750,Dec-19,11111111.11,11111111.11,,
332,(주)그래디언트,35080,Dec-11,334573662,328872047,2911.16,2859.85
333,(주)그래디언트,35080,Dec-12,411656935,396658402,23.04,20.61
334,(주)그래디언트,35080,Dec-13,402332195,751939528,-2.27,89.57
335,(주)그래디언트,35080,Dec-14,420045194,900343355,4.4,19.74
336,(주)그래디언트,35080,Dec-15,431479124,903808797,2.72,0.38
337,(주)그래디언트,35080,Dec-16,389295611,840330799,-9.78,-7.02
338,(주)그래디언트,35080,Dec-17,328719925,742316982,-15.56,-11.66
339,(주)그래디언트,35080,Dec-18,325218418,714481098,-1.07,-3.75
340,(주)그래디언트,35080,Dec-19,320088192,669586510,-1.58,-6.28
341,(주)그리티,204020,Dec-18,74051025,74460588,-76.87,-88.88
342,(주)그리티,204020,Dec-19,74833748,74181103,1.06,-0.38
343,(주)그린플러스,186230,Dec-19,36772875,37391337,-50.86,-49.59
344,(주)글로벌스탠다드테크놀로지,83450,Dec-11,26355250,27594673,,
345,(주)글로벌스탠다드테크놀로지,83450,Dec-12,33379017,36008304,26.65,30.49
346,(주)글로벌스탠다드테크놀로지,83450,Dec-13,39169886,42629997,17.35,18.39
347,(주)글로벌스탠다드테크놀로지,83450,Dec-14,45624394,50846053,16.48,19.27
348,(주)글로벌스탠다드테크놀로지,83450,Dec-15,49667680,56675666,8.86,11.47
349,(주)글로벌스탠다드테크놀로지,83450,Dec-16,53103831,60779819,6.92,7.24
350,(주)글로벌스탠다드테크놀로지,83450,Dec-17,67278478,78275559,26.69,28.79
351,(주)글로벌스탠다드테크놀로지,83450,Dec-18,72640818,85807825,7.97,9.62
352,(주)글로벌스탠다드테크놀로지,83450,Dec-19,90403163,103310701,24.45,20.4
353,(주)금비,8870,Sep-11,76631712,127461261,-15.23,23.38
354,(주)금비,8870,Sep-12,76286738,127569592,-0.45,0.08
355,(주)금비,8870,Sep-13,75961191,127930275,-0.43,0.28
356,(주)금비,8870,Sep-14,73951486,130427078,-2.65,1.95
357,(주)금비,8870,Sep-15,75497346,138920965,2.09,6.51
358,(주)금비,8870,Sep-16,80284267,146679335,6.34,5.58
359,(주)금비,8870,Sep-17,80937315,150022915,0.81,2.28
360,(주)금비,8870,Sep-18,83535809,156252159,3.21,4.15
361,(주)금비,8870,Sep-19,84602682,163543704,1.28,4.67
362,(주)금양,1570,Dec-11,43024251,45175687,-49.15,-72.38
363,(주)금양,1570,Dec-12,45261596,45542580,5.2,0.81
364,(주)금양,1570,Dec-13,45422689,45554255,0.36,0.03
365,(주)금양,1570,Dec-14,46481587,44489985,2.33,-2.34
366,(주)금양,1570,Dec-15,46703110,57953744,0.48,30.26
367,(주)금양,1570,Dec-16,22239137,34480745,-52.38,-40.5
368,(주)금양,1570,Dec-17,31251974,57595446,40.53,67.04
369,(주)금양,1570,Dec-18,49187838,79456336,57.39,37.96
370,(주)금양,1570,Dec-19,35004819,68287064,-28.83,-14.06
371,(주)금호에이치티,214330,Dec-15,82117294,81388280,134.59,19.19
372,(주)금호에이치티,214330,Dec-16,92714230,86282030,12.9,6.01
