,회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),0,1,2,3
198,(주)고려시멘트,198440,Dec-19,3197996,3197996,11111111.11,11111111.11,70921781,11111111.11,4.92,1254789.63,-17.32,
199,(주)고영테크놀러지,98460,Dec-11,4312944,4260962,4312944,4260962,80200892,86130810,34.86,1254789.63,13.08,675.18
200,(주)고영테크놀러지,98460,Dec-12,4477067,4312944,4477067,4312944,100791139,107841666,5.07,5.07,25.67,25.21
201,(주)고영테크놀러지,98460,Dec-13,4477817,4477067,4477817,4477067,103933681,111902729,3.82,3.82,3.12,3.77
202,(주)고영테크놀러지,98460,Dec-14,6718226,4477817,6718226,4477817,135531589,142840131,50.06,50.06,30.4,27.65
203,(주)고영테크놀러지,98460,Dec-15,6818976,6718226,6818976,6718226,138554625,145904431,52.28,52.28,2.23,2.15
204,(주)고영테크놀러지,98460,Dec-16,6834476,6818976,6834476,6818976,153254768,171793841,1.73,1.73,10.61,17.74
205,(주)고영테크놀러지,98460,Dec-17,6842976,6834476,6842976,6834476,188934907,203368626,0.35,0.35,23.28,18.38
206,(주)고영테크놀러지,98460,Dec-18,6843976,6842976,6843976,6842976,219818022,238208865,0.14,0.14,16.35,17.13
207,(주)고영테크놀러지,98460,Dec-19,6858976,6843976,6858976,6843976,209480760,222057035,0.23,0.23,-4.7,-6.78
208,(주)골드앤에스,35290,Dec-11,25829040,25829040,25829040,25829040,47522791,47522791,277.4,277.4,-77.31,-78.6
209,(주)골드앤에스,35290,Dec-12,35819682,25829040,35819682,25829040,43889087,43889087,38.68,38.68,-7.65,-7.65
210,(주)골드앤에스,35290,Dec-13,35819682,35819682,35819682,35819682,36607591,39548810,38.68,38.68,-16.59,-9.89
211,(주)골드앤에스,35290,Dec-14,6077692,35819682,6077692,35819682,29428881,31287203,-83.03,-83.03,-19.61,-20.89
212,(주)골드앤에스,35290,Dec-15,9852021,6077692,9852021,6077692,22197935,22197935,-72.5,-72.5,-24.57,-29.05
213,(주)골드앤에스,35290,Dec-16,10017310,9852021,10017311,9852021,15893494,15893494,64.82,64.82,-28.4,-28.4
214,(주)골드앤에스,35290,Dec-17,11086938,10017310,11086938,10017310,12802035,12802035,12.53,12.53,-19.45,-19.45
215,(주)골드앤에스,35290,Dec-18,11380624,11086938,11380624,11086938,8680452,8680452,13.61,13.61,-32.19,-32.19
216,(주)골드앤에스,35290,Dec-19,1285069,11380624,1285069,11380624,7642733,7642733,-88.41,-88.41,-11.95,-11.95
