회사명,거래소코드,회계년도,매출총이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)글로벌스탠다드테크놀로지,083450,2018/12,35709665,115619452,43495602,129850197
(주)글로벌스탠다드테크놀로지,083450,2019/12,56865536,150777009,66344307,168231754
(주)금비,008870,2010/09,17242687,72690887,,
(주)금비,008870,2011/09,21400695,90614774,41205761,182184368
(주)금비,008870,2012/09,17585957,83296660,36612427,176226095
(주)금비,008870,2013/09,16180369,82028937,34088307,175061513
(주)금비,008870,2014/09,13489407,80715556,33836825,177506459
(주)금비,008870,2015/09,22820657,93629076,43895292,189495056
(주)금비,008870,2016/09,23002381,100327539,46105926,200543667
(주)금비,008870,2017/09,21318608,80379261,43021332,185531452
(주)금비,008870,2018/09,23421021,90793198,43954524,196995589
(주)금비,008870,2019/09,22585706,91480486,43888924,201404468
(주)금양,001570,2010/12,11655523,90724087,15946114,102718517
(주)금양,001570,2011/12,13752179,100918699,17512308,109810009
(주)금양,001570,2012/12,14532580,108275608,20432018,122905331
(주)금양,001570,2013/12,13389642,132045280,20481889,156304448
(주)금양,001570,2014/12,15798645,137946044,20089423,158550531
(주)금양,001570,2015/12,19072331,152450369,22916314,158999533
(주)금양,001570,2016/12,20548292,161001876,31152267,168681746
(주)금양,001570,2017/12,17821617,150809075,35466492,180373683
(주)금양,001570,2018/12,20445291,151676398,40431465,205441375
(주)금양,001570,2019/12,19464446,135915020,35819023,172723864
(주)금호에이치티,214330,2015/12,30014317,181779820,31976687,203071984
(주)금호에이치티,214330,2016/12,23459018,189733826,24001420,208574892
(주)금호에이치티,214330,2017/12,18380976,165485490,18476245,179707629
(주)금호에이치티,214330,2018/12,15178768,189250383,21172947,209260006
