,순이익증가율,순이익증가률개별,순이익증가률연결
2466,-171.1,-171.1,0.0
2467,0.0,11111111.11,0.0
2468,20.11,20.11,0.0
2469,111.44,111.44,0.0
2470,-66.82,-66.82,0.0
2471,66.05,66.05,0.0
2472,0.0,-15.92,0.0
2473,-2.35,-70.22,-2.35
2474,10.05,30.72,16.13
2475,19.27,210.81,13.02
2476,13.1,30.56,13.1
2477,-22.14,-4.78,-22.14
2478,-13.1,-23.18,-13.1
2479,-94.59,-50.78,-94.59
2480,240.72,1.11,240.72
2481,-13.27,-82.09,159.21
2482,232.93,481.44,202.24
2483,-16.39,-33.63,-11.33
2484,-0.56,-73.51,10.52
2485,-310.67,-1108.23,-310.67
2486,1254789.63,11111111.11,11111111.11
2487,-76.9,14.9,-77.28
2488,725.36,191.63,606.16
2489,-51.27,-76.39,-50.35
2490,-3.75,-15.0,-80.2
2491,-34.81,-47.23,-38.27
2492,-20.07,-29.27,43.1
2493,49.23,107.39,23.8
2494,-18.33,-58.18,-3.23
2495,51.37,36.14,47.29
2496,-39.71,-17.33,-40.83
2497,-90.29,-153.59,-92.18
2498,1385.55,11111111.11,1341.37
2499,-121.11,75.6,-121.11
2500,916.06,916.06,11111111.11
2501,-27.27,-6.08,-27.27
2502,60.35,38.57,60.35
2503,55.99,39.67,67.42
2504,88.97,110.48,98.26
2505,-60.49,-69.51,-51.38
2506,26.71,25.71,21.45
2507,-24.8,-46.8,-11.46
2508,11.74,5.65,-66.27
2509,-30.1,-28.52,-30.1
2510,8.72,4.51,8.72
2511,15.36,106.92,-18.04
2512,-23.34,-23.34,0.0
2513,32.53,32.53,0.0
2514,29.0,263.89,1412.79
2515,-24.68,-55.59,-22.81
2516,-120.2,-167.0,-120.2
2517,1254789.63,11111111.11,11111111.11
2518,1746.25,-72.46,271.44
2519,-51.36,345.07,-16.51
2520,66.62,-29.04,3.15
2521,85.73,17.38,52.58
2522,-55.88,-57.46,-39.48
2523,-95.56,-87.66,-95.56
2524,-42.28,-44.28,-42.28
2525,-55.86,-52.82,-55.86
2526,-778.98,-816.52,-778.98
2527,1254789.63,11111111.11,11111111.11
2528,1254789.63,11111111.11,11111111.11
2529,1254789.63,11111111.11,11111111.11
2530,1254789.63,11111111.11,11111111.11
2531,1254789.63,11111111.11,11111111.11
2532,31.31,1626.39,687.42
2533,-8.94,-8.94,0.0
2534,-19.51,-19.51,0.0
2535,-3.25,-3.25,0.0
2536,9.22,9.22,0.0
2537,-10.31,-10.31,0.0
2538,-22.59,-22.59,0.0
2539,8.51,8.51,0.0
2540,-12.56,-12.56,0.0
2541,-16.56,-68.55,-83.82
2542,253.04,2.86,325.45
2543,501.49,946.6,502.96
2544,-76.79,-89.49,-77.02
2545,-22.65,-54.12,-23.27
2546,-23.71,-41.8,-23.56
2547,-183.93,-1498.5,-188.8
2548,1254789.63,11111111.11,11111111.11
2549,-1.25,585.32,-4.25
2550,466.11,-78.59,-15.11
2551,-86.52,-86.52,0.0
2552,2241.34,2241.34,0.0
2553,-42.18,-42.18,0.0
2554,635.19,635.19,0.0
2555,-87.62,-87.62,0.0
2556,-22.17,-22.17,0.0
2557,30.08,30.08,0.0
2558,28.34,28.34,0.0
2559,-4.52,-39.79,0.0
2560,52.95,52.95,0.0
2561,-53.39,-53.39,0.0
2562,12.7,12.7,0.0
2563,99.33,99.33,0.0
2564,-78.27,-78.27,0.0
2565,282.86,282.86,0.0
2566,16.74,16.74,0.0
2567,6.33,6.33,0.0
2568,3.2,1040.25,0.0
2569,-88.27,-88.27,0.0
2570,-267.3,-267.3,0.0
2571,0.0,11111111.11,0.0
2572,-94.14,26.98,-96.34
2573,707.75,32.67,752.1
2574,3.12,-47.96,3.94
2575,84.74,-44.84,86.06
2576,-23.1,256.89,-23.29
2577,13.07,-26.85,12.86
2578,-52.27,-44.29,-52.22
2579,-42.29,212.14,-42.21
2580,659.59,38.98,655.31
2581,25.4,-87.63,-70.06
2582,110.4,457.06,109.43
2583,-75.32,-0.3,-74.08
2584,-508.83,-202.23,-508.83
2585,1254789.63,11111111.11,11111111.11
2586,-122.2,-92.39,-122.67
2587,-530.89,-530.89,11111111.11
2588,1254789.63,11111111.11,11111111.11
2589,-68.18,447.12,-73.56
2590,-53.07,509.88,6563.04
2591,19.15,15.11,16.47
2592,11.84,10.17,12.87
2593,-62.83,-68.14,-71.1
2594,124.87,49.9,219.83
2595,-6.9,81.45,-46.12
2596,-61.74,-7.73,-74.43
2597,142.54,-31.23,418.76
2598,18.0,38.89,35.23
2599,-340.55,-348.06,-340.55
2600,1254789.63,11111111.11,11111111.11
2601,1254789.63,11111111.11,11111111.11
2602,1254789.63,11111111.11,11111111.11
2603,-103.31,-107.7,-103.31
2604,1254789.63,11111111.11,11111111.11
2605,-27.86,-45.23,-27.86
2606,-111.96,-154.3,-111.98
2607,1254789.63,11111111.11,11111111.11
2608,-108.63,-108.41,-108.63
2609,1254789.63,11111111.11,11111111.11
2610,1254789.63,11111111.11,11111111.11
2611,-150.27,-154.9,-150.27
2612,1254789.63,11111111.11,11111111.11
2613,1254789.63,11111111.11,11111111.11
2614,-90.08,-87.88,-90.76
2615,-499.52,-603.82,-532.99
2616,1254789.63,11111111.11,11111111.11
2617,114.77,391.0,1441.24
2618,10.7,10.7,0.0
2619,9.82,9.82,0.0
2620,-194.52,-214.92,-194.52
2621,1254789.63,11111111.11,11111111.11
2622,1254789.63,11111111.11,11111111.11
2623,1254789.63,11111111.11,11111111.11
2624,1254789.63,11111111.11,11111111.11
2625,1254789.63,11111111.11,11111111.11
2626,1254789.63,11111111.11,11111111.11
2627,-65.89,46.42,-65.89
2628,277.54,-19.04,298.67
2629,98.62,13.18,100.61
2630,64.56,94.5,64.51
2631,102.23,-35.15,100.99
2632,45.14,193.91,46.51
2633,36.36,3.75,36.36
2634,-7.66,228.08,-11.87
2635,-111.3,-115.47,-111.3
2636,1254789.63,11111111.11,11111111.11
2637,1254789.63,11111111.11,11111111.11
2638,-34.95,-26.41,-36.86
2639,41.6,26.67,50.15
2640,74.42,112.87,65.95
2641,-322.8,-249.05,-322.8
2642,1254789.63,11111111.11,11111111.11
2643,-172.8,11111111.11,-172.8
2644,8.97,11111111.11,11111111.11
2645,-21.62,-11.54,-21.62
2646,60.31,68.58,60.31
2647,-42.0,-52.52,-42.0
2648,94.12,156.83,94.12
2649,-30.43,-2.1,-30.43
2650,36.6,-60.03,36.6
2651,61.55,207.93,61.55
2652,3.23,3.09,3.23
2653,-10.78,-262.91,-10.78
2654,0.0,11111111.11,0.0
2655,0.0,11111111.11,0.0
2656,-1098.03,-1098.03,0.0
2657,0.0,11111111.11,0.0
2658,-168.35,11111111.11,-168.35
2659,1254789.63,11111111.11,11111111.11
2660,1254789.63,11111111.11,11111111.11
2661,-153.2,-142.85,-153.2
2662,1254789.63,11111111.11,11111111.11
2663,1254789.63,11111111.11,11111111.11
2664,1254789.63,11111111.11,11111111.11
2665,1254789.63,11111111.11,11111111.11
2666,-32.68,-73.76,-30.84
2667,98.17,330.52,86.07
2668,-73.13,-59.41,-89.06
2669,150.01,-25.23,493.68
2670,-126.16,-82.8,-124.8
2671,42.78,833.29,11111111.11
2672,46.05,46.05,0.0
2673,-62.56,-13.57,-62.56
2674,-35.88,-36.08,-35.54
2675,-31.59,-28.29,-34.33
2676,123.16,108.91,136.09
2677,-49.4,-53.62,-45.44
2678,27.36,28.71,27.13
2679,238.45,249.86,208.18
2680,-94.92,-94.65,-94.92
2681,-31.97,-32.43,-31.97
2682,-6765.44,-6916.43,-6765.44
2683,1254789.63,11111111.11,11111111.11
2684,4442.14,-5599.23,4442.14
2685,0.0,11111111.11,0.0
2686,-1044.13,-1044.13,0.0
2687,0.0,11111111.11,0.0
2688,0.0,11111111.11,0.0
2689,1792.13,928.18,-34.74
2690,86.62,728.73,62.58
2691,-26.97,-54.1,-13.11
2692,29.78,3.71,31.78
2693,26.1,-3.99,32.26
2694,-2.46,29.04,-5.49
2695,-55.61,-2.3,-63.86
2696,-119.8,-95.16,-125.8
2697,24.03,24.03,11111111.11
2698,-12.57,29267.76,11111111.11
2699,-15.48,5.1,-17.67
2700,55.86,-146.87,84.97
2701,185.91,11111111.11,155.54
2702,-81.02,-98.95,-63.25
2703,88.5,917.45,40.54
2704,-119.12,-99.99,-116.75
2705,41333.47,41333.47,11111111.11
2706,-3239.69,-3239.69,11111111.11
2707,1254789.63,11111111.11,11111111.11
2708,52.12,265.18,52.12
2709,14.84,-12.79,15.46
2710,-62.64,-0.86,-67.62
2711,-119.35,-118.81,-126.62
2712,1254789.63,11111111.11,11111111.11
2713,23.57,11111111.11,11111111.11
2714,-17.01,-27.52,-17.01
2715,-6.69,-21.6,-6.69
2716,36.16,22.44,36.16
2717,-93.6,-74.0,-98.33
2718,-215.58,218.27,-657.74
2719,-243.93,-243.93,11111111.11
2720,-320.47,11111111.11,-344.66
2721,1254789.63,11111111.11,11111111.11
2722,1254789.63,11111111.11,11111111.11
2723,1254789.63,11111111.11,11111111.11
2724,-1024.45,-940.72,-1024.45
2725,1254789.63,11111111.11,11111111.11
2726,1254789.63,11111111.11,11111111.11
2727,1254789.63,11111111.11,11111111.11
2728,1254789.63,11111111.11,11111111.11
2729,1254789.63,11111111.11,11111111.11
2730,1254789.63,11111111.11,11111111.11
2731,1254789.63,11111111.11,11111111.11
2732,1254789.63,11111111.11,11111111.11
2733,1.56,-12.78,1.56
2734,67.08,68.64,67.08
2735,260.47,134.56,260.47
