,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),0,1
239,(주)골프존뉴딘홀딩스,121440,Dec-19,537526345,776384700,-4.59,0.21
240,(주)광림,14200,Dec-11,86353051,11111111.11,-83.94,-98.57
241,(주)광림,14200,Dec-12,89766075,11111111.11,3.95,
242,(주)광림,14200,Dec-13,101592603,11111111.11,13.17,
243,(주)광림,14200,Dec-14,120284256,244886480,18.4,
244,(주)광림,14200,Dec-15,146338755,11111111.11,21.66,-95.46
245,(주)광림,14200,Dec-16,152080347,229596737,3.92,
246,(주)광림,14200,Dec-17,369582323,208058303,143.02,-9.38
247,(주)광림,14200,Dec-18,236379465,187812629,-36.04,-9.73
248,(주)광림,14200,Dec-19,193568854,252468254,-18.11,34.43
249,(주)광명전기,17040,Dec-11,99992644,123886511,-48.34,-50.93
250,(주)광명전기,17040,Dec-12,104218586,131064345,4.23,5.79
251,(주)광명전기,17040,Dec-13,105483729,120910764,1.21,-7.75
252,(주)광명전기,17040,Dec-14,119791644,138580023,13.56,14.61
253,(주)광명전기,17040,Dec-15,107719518,131457603,-10.08,-5.14
254,(주)광명전기,17040,Dec-16,125405290,146859319,16.42,11.72
255,(주)광명전기,17040,Dec-17,128881408,152717140,2.77,3.99
256,(주)광명전기,17040,Dec-18,124159091,151823119,-3.66,-0.59
257,(주)광명전기,17040,Dec-19,140591786,156712705,13.24,3.22
258,(주)광무,29480,Dec-11,85836111,75946478,-38.95,-51.54
259,(주)광무,29480,Dec-12,60163490,55788602,-29.91,-26.54
260,(주)광무,29480,Dec-13,28890332,35384615,-51.98,-36.57
261,(주)광무,29480,Dec-14,27862528,11111111.11,-3.56,-68.6
262,(주)광무,29480,Dec-15,21133216,11111111.11,-24.15,
263,(주)광무,29480,Dec-16,29089768,11111111.11,37.65,
264,(주)광무,29480,Dec-17,28950503,11111111.11,-0.48,
265,(주)광무,29480,Dec-18,26017306,28431748,-10.13,
266,(주)광무,29480,Dec-19,57156720,63139837,119.69,122.08
267,(주)광주신세계,37710,Dec-11,380753715,11111111.11,566.16,-82.4
268,(주)광주신세계,37710,Dec-12,430662968,11111111.11,13.11,
269,(주)광주신세계,37710,Dec-13,656355808,11111111.11,52.41,
270,(주)광주신세계,37710,Dec-14,652758688,11111111.11,-0.55,
271,(주)광주신세계,37710,Dec-15,659495158,11111111.11,1.03,
272,(주)광주신세계,37710,Dec-16,655502726,11111111.11,-0.61,
273,(주)광주신세계,37710,Dec-17,655018971,11111111.11,-0.07,
274,(주)광주신세계,37710,Dec-18,696204982,11111111.11,6.29,
275,(주)광주신세계,37710,Dec-19,752423111,11111111.11,8.07,
276,(주)구영테크,53270,Dec-11,94940916,149471330,-87.38,1245.24
277,(주)구영테크,53270,Dec-12,109440531,161163024,15.27,7.82
278,(주)구영테크,53270,Dec-13,97549406,149230187,-10.87,-7.4
279,(주)구영테크,53270,Dec-14,101546298,155857242,4.1,4.44
280,(주)구영테크,53270,Dec-15,102761141,161330950,1.2,3.51
281,(주)구영테크,53270,Dec-16,108895002,166748490,5.97,3.36
282,(주)구영테크,53270,Dec-17,139584386,187009683,28.18,12.15
283,(주)구영테크,53270,Dec-18,146492374,202572970,4.95,8.32
284,(주)구영테크,53270,Dec-19,141034767,206569873,-3.73,1.97
285,(주)국동,5320,Dec-11,42291817,68162305,-70.01,-67
286,(주)국동,5320,Dec-12,35813125,65808287,-15.32,-3.45
287,(주)국동,5320,Dec-13,40194919,73040609,12.24,10.99
288,(주)국동,5320,Dec-14,53392996,89271398,32.84,22.22
289,(주)국동,5320,Dec-15,66242141,93758552,24.07,5.03
290,(주)국동,5320,Dec-16,86116813,124126720,30,32.39
291,(주)국동,5320,Dec-17,75154254,106307080,-12.73,-14.36
292,(주)국동,5320,Dec-18,80727956,123134702,7.42,15.83
293,(주)국동,5320,Dec-19,96856085,133723726,19.98,8.6
294,(주)국보,1140,Dec-11,97415381,98869465,0.58,-26.06
295,(주)국보,1140,Dec-12,93953021,98494841,-3.55,-0.38
296,(주)국보,1140,Dec-13,94915572,98315386,1.02,-0.18
297,(주)국보,1140,Dec-14,87597909,91005502,-7.71,-7.44
298,(주)국보,1140,Dec-15,80158667,83085438,-8.49,-8.7
299,(주)국보,1140,Dec-16,77487791,81308887,-3.33,-2.14
300,(주)국보,1140,Dec-17,69819240,73270170,-9.9,-9.89
301,(주)국보,1140,Dec-18,45599283,48188113,-34.69,-34.23
