회사명,거래소코드,회계년도,당좌자산회전률(IFRS),당좌자산회전률(IFRS연결),순운전자본회전률(IFRS),순운전자본회전률(IFRS연결),당좌자산회전률,순운전자본회전률
(주)광주신세계,37710,2011/12,0.96,,0.74,,0.96,0.74
(주)광주신세계,37710,2012/12,0.79,,0.63,,0.79,0.63
(주)광주신세계,37710,2013/12,1.36,,0.79,,1.36,0.79
(주)광주신세계,37710,2014/12,9.92,,1.38,,9.92,1.38
(주)광주신세계,37710,2015/12,8.51,,1.26,,8.51,1.26
(주)광주신세계,37710,2016/12,7.6,,1.19,,7.6,1.19
(주)광주신세계,37710,2017/12,7.65,,1.61,,7.65,1.61
(주)광주신세계,37710,2018/12,2.63,,1.04,,2.63,1.04
(주)광주신세계,37710,2019/12,1.77,,0.94,,1.77,0.94
(주)구영테크,53270,2011/12,1.9,3.6,0.66,0.95,3.6,0.95
(주)구영테크,53270,2012/12,1.7,3.42,0.59,0.9,3.42,0.9
(주)구영테크,53270,2013/12,2.16,4.14,0.71,1.06,4.14,1.06
(주)구영테크,53270,2014/12,2.53,4.79,0.85,1.22,4.79,1.22
(주)구영테크,53270,2015/12,2.6,4.63,1.02,1.3,4.63,1.3
(주)구영테크,53270,2016/12,2.28,4.04,0.96,1.19,4.04,1.19
(주)구영테크,53270,2017/12,1.96,3.82,0.8,1.12,3.82,1.12
(주)구영테크,53270,2018/12,2.13,5.34,0.84,1.39,5.34,1.39
(주)구영테크,53270,2019/12,3.06,7.11,1.09,1.56,7.11,1.56
(주)국동,5320,2011/12,7.03,7.49,1.54,1.57,7.49,1.57
(주)국동,5320,2012/12,7.49,6.2,1.62,1.5,6.2,1.5
(주)국동,5320,2013/12,7.93,6.06,1.75,1.57,6.06,1.57
(주)국동,5320,2014/12,5.59,5.86,1.88,1.82,5.86,1.82
(주)국동,5320,2015/12,4.21,4.62,1.49,1.6,4.62,1.6
(주)국동,5320,2016/12,4.51,4.52,1.67,1.64,4.52,1.64
(주)국동,5320,2017/12,4.18,4.45,1.69,1.56,4.45,1.56
(주)국동,5320,2018/12,4.45,5.11,1.73,1.68,5.11,1.68
(주)국동,5320,2019/12,2.96,4.12,1.39,1.6,4.12,1.6
(주)국보,1140,2011/12,3.18,3.4,1.31,1.42,3.4,1.42
(주)국보,1140,2012/12,2.91,3.1,1.2,1.3,3.1,1.3
(주)국보,1140,2013/12,3.08,3.12,1.22,1.26,3.12,1.26
(주)국보,1140,2014/12,2.78,2.88,1.03,1.08,2.88,1.08
(주)국보,1140,2015/12,3.1,3.19,1.06,1.1,3.19,1.1
(주)국보,1140,2016/12,3.14,3.36,1.0,1.09,3.36,1.09
(주)국보,1140,2017/12,3.59,3.57,1.06,1.08,3.57,1.08
(주)국보,1140,2018/12,4.68,4.85,1.31,1.37,4.85,1.37
(주)국보,1140,2019/12,4.13,4.64,1.25,0.96,4.64,0.96
(주)국보디자인,66620,2011/12,2.29,2.29,1.46,1.45,2.29,1.45
(주)국보디자인,66620,2012/12,1.82,1.78,1.23,1.2,1.78,1.2
(주)국보디자인,66620,2013/12,1.82,1.85,1.2,1.21,1.85,1.21
(주)국보디자인,66620,2014/12,1.63,1.68,1.05,1.09,1.68,1.09
(주)국보디자인,66620,2015/12,1.61,1.8,1.06,1.19,1.8,1.19
(주)국보디자인,66620,2016/12,1.78,1.71,1.16,1.13,1.71,1.13
(주)국보디자인,66620,2017/12,2.13,2.05,1.41,1.38,2.05,1.38
(주)국보디자인,66620,2018/12,1.81,1.83,1.25,1.27,1.83,1.27
