회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)나이스디앤비,130580,Dec-17,32327045,42282947
(주)나이스디앤비,130580,Dec-18,42167015,52040929
(주)나이스디앤비,130580,Dec-19,50280560,77330430
(주)나이스홀딩스,34310,Dec-11,27906675,194810015
(주)나이스홀딩스,34310,Dec-12,32479387,211902144
(주)나이스홀딩스,34310,Dec-13,24585959,754166289
(주)나이스홀딩스,34310,Dec-14,24855128,936827214
(주)나이스홀딩스,34310,Dec-15,30358130,1090840202
(주)나이스홀딩스,34310,Dec-16,33693212,1346411434
(주)나이스홀딩스,34310,Dec-17,37458486,1450068987
(주)나이스홀딩스,34310,Dec-18,40325277,1611892148
(주)나이스홀딩스,34310,Dec-19,44669568,1877743691
(주)나인테크,267320,Dec-17,,
(주)나인테크,267320,Dec-18,,
(주)나인테크,267320,Dec-19,,
(주)남선알미늄,8350,Dec-11,302410988,302410988
(주)남선알미늄,8350,Dec-12,308547177,
(주)남선알미늄,8350,Dec-13,353378515,
(주)남선알미늄,8350,Dec-14,341293036,
(주)남선알미늄,8350,Dec-15,350317585,
(주)남선알미늄,8350,Dec-16,400734305,
(주)남선알미늄,8350,Dec-17,400667879,
(주)남선알미늄,8350,Dec-18,347834921,347834921
(주)남선알미늄,8350,Dec-19,324782177,324782177
(주)남성,4270,Dec-11,55212184,66156225
(주)남성,4270,Dec-12,55616541,68020409
(주)남성,4270,Dec-13,56628063,73072002
(주)남성,4270,Dec-14,59274363,69059783
(주)남성,4270,Dec-15,62237269,75864783
(주)남성,4270,Dec-16,70870441,83724292
(주)남성,4270,Dec-17,78335735,91991880
(주)남성,4270,Dec-18,63605003,83251810
(주)남성,4270,Dec-19,57819890,72953026
(주)내츄럴엔도텍,168330,Dec-13,84281121,
(주)내츄럴엔도텍,168330,Dec-14,124067457,
(주)내츄럴엔도텍,168330,Dec-15,44506401,44506401
(주)내츄럴엔도텍,168330,Dec-16,6556020,6556020
(주)내츄럴엔도텍,168330,Dec-17,9238808,9238808
(주)내츄럴엔도텍,168330,Dec-18,8892649,8928362
(주)내츄럴엔도텍,168330,Dec-19,6615116,6580460
(주)네오리진,94860,Dec-11,23311768,42947694
(주)네오리진,94860,Dec-12,24667502,
(주)네오리진,94860,Dec-13,41569623,
(주)네오리진,94860,Dec-14,34582751,
(주)네오리진,94860,Dec-15,12413198,
(주)네오리진,94860,Dec-16,10654596,
(주)네오리진,94860,Dec-17,9032026,9263380
(주)네오리진,94860,Dec-18,9064462,
(주)네오리진,94860,Dec-19,11270250,
(주)네오셈,253590,Dec-18,,
(주)네오셈,253590,Dec-19,25334754,27225588
(주)네오오토,212560,Dec-15,115393747,
(주)네오오토,212560,Dec-16,140544448,
(주)네오오토,212560,Dec-17,128249343,
(주)네오오토,212560,Dec-18,115243742,
(주)네오오토,212560,Dec-19,118441501,
(주)네오위즈,95660,Dec-11,592103340,667748340
(주)네오위즈,95660,Dec-12,588447125,674589550
(주)네오위즈,95660,Dec-13,371656266,442897817
(주)네오위즈,95660,Dec-14,139550248,201029653
(주)네오위즈,95660,Dec-15,125990929,190070606
(주)네오위즈,95660,Dec-16,117653566,191038418
(주)네오위즈,95660,Dec-17,106849588,174045348
(주)네오위즈,95660,Dec-18,155574255,215490230
(주)네오위즈,95660,Dec-19,202617148,254498033
(주)네오위즈홀딩스,42420,Dec-11,13097599,727227250
