,자기자본증가율,0,1
815,11.84,14.6,11.34
816,8.95,2.54,20.94
817,-7.93,2.54,24.18
818,39.75,3.03,7.75
819,15.81,-76.53,-99.6
820,11.74,11.74,11111111.11
821,21.27,21.27,11111111.11
822,20.22,20.22,11111111.11
823,104.11,104.61,107.54
824,5.69,5.96,5.23
825,27.27,26.45,28.79
826,12.6,14.72,11.45
827,7.8,8.98,5.56
828,14.56,-19.49,-18.59
829,-37.3,-31.29,-37.83
830,-36.34,-72.61,-36.0
831,-59.65,-78.03,-58.82
832,-22.25,-21.44,-23.53
833,-6.22,11292.48,2894.96
834,-3.47,-1.8,-3.39
835,3.71,4.56,3.96
836,-1.49,-0.41,-0.88
837,1.01,-2.85,0.49
838,3.07,3.23,2.92
839,2.41,2.12,2.13
840,-8.64,-4.82,-8.88
841,-0.6,-1.29,-0.58
842,15.79,-40.08,-98.19
843,4.03,4.03,11111111.11
844,1.01,1.01,11111111.11
845,1.73,1.73,11111111.11
846,-9.78,-10.11,-9.78
847,0.74,1.28,1.0
848,-2.63,-1.96,-2.23
849,-11.77,-10.63,-15.84
850,-8.12,-7.08,-7.65
851,8.75,27.96,36.8
852,10.46,10.58,10.46
853,-0.84,-0.39,-0.84
854,3.18,3.18,-97.41
855,4.16,4.16,11111111.11
856,2.34,2.34,11111111.11
857,11.4,11.4,11111111.11
858,88.43,88.43,11111111.11
859,5.67,5.91,5.67
860,2.11,-79.58,-77.4
861,-1.98,0.41,-1.93
862,-2.01,-3.47,-1.94
863,2.02,1.52,1.97
864,1.18,-1.02,1.18
865,-7.82,-9.72,-7.71
866,1.61,0.24,1.74
867,-0.66,-3.35,-0.64
868,0.98,-5.76,1.52
869,-2.23,-65.33,-94.97
870,-4.83,-4.83,11111111.11
871,4.92,4.92,11111111.11
872,-3.13,-3.13,11111111.11
873,-8.76,-8.76,11111111.11
874,12.45,12.45,11111111.11
875,10.74,10.74,11111111.11
876,-4.86,-4.86,11111111.11
877,-0.9,-0.9,11111111.11
878,9.98,-7.02,0.0
879,5.83,5.83,11111111.11
880,1.98,1.98,11111111.11
881,11.78,11.78,11111111.11
882,16.68,16.68,11111111.11
883,16.59,16.59,11111111.11
