회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)구영테크,53270,11-Dec,0.96,1.29,1.0,0.0,0.0
(주)구영테크,53270,12-Dec,1.29,1.39,0.0,1.0,0.0
(주)구영테크,53270,13-Dec,1.39,1.38,0.0,0.0,1.0
(주)구영테크,53270,14-Dec,1.38,1.97,0.0,0.0,0.0
(주)구영테크,53270,15-Dec,1.97,1.65,0.0,0.0,0.0
(주)구영테크,53270,16-Dec,1.65,2.37,0.0,0.0,0.0
(주)구영테크,53270,17-Dec,2.37,1.47,0.0,0.0,0.0
(주)구영테크,53270,18-Dec,1.47,1.33,0.0,0.0,0.0
(주)구영테크,53270,19-Dec,1.33,,0.0,0.0,0.0
(주)국동,5320,11-Dec,0.5,3.42,1.0,0.0,0.0
(주)국동,5320,12-Dec,3.42,3.64,0.0,1.0,0.0
(주)국동,5320,13-Dec,3.64,5.32,0.0,0.0,1.0
(주)국동,5320,14-Dec,5.32,4.08,0.0,0.0,0.0
(주)국동,5320,15-Dec,4.08,5.25,0.0,0.0,0.0
(주)국동,5320,16-Dec,5.25,-2.28,0.0,0.0,0.0
(주)국동,5320,17-Dec,-2.28,2.53,1.0,0.0,0.0
(주)국동,5320,18-Dec,2.53,-1.78,0.0,0.0,0.0
(주)국동,5320,19-Dec,-1.78,,1.0,0.0,0.0
(주)국보,1140,11-Dec,0.75,0.64,1.0,0.0,0.0
(주)국보,1140,12-Dec,0.64,0.36,1.0,0.0,0.0
(주)국보,1140,13-Dec,0.36,-1.31,1.0,0.0,0.0
(주)국보,1140,14-Dec,-1.31,-1.55,1.0,0.0,0.0
(주)국보,1140,15-Dec,-1.55,0.14,1.0,0.0,0.0
(주)국보,1140,16-Dec,0.14,-2.66,1.0,0.0,0.0
(주)국보,1140,17-Dec,-2.66,-4.03,1.0,0.0,0.0
(주)국보,1140,18-Dec,-4.03,-0.35,1.0,0.0,0.0
(주)국보,1140,19-Dec,-0.35,,1.0,0.0,0.0
(주)국순당,43650,11-Dec,167.22,172.69,0.0,0.0,0.0
(주)국순당,43650,12-Dec,172.69,9.21,0.0,0.0,0.0
(주)국순당,43650,13-Dec,9.21,9.17,0.0,0.0,0.0
(주)국순당,43650,14-Dec,9.17,-334.84,0.0,0.0,0.0
(주)국순당,43650,15-Dec,-334.84,-327.25,1.0,0.0,0.0
(주)국순당,43650,16-Dec,-327.25,-12.28,1.0,0.0,0.0
(주)국순당,43650,17-Dec,-12.28,-7.85,1.0,0.0,0.0
(주)국순당,43650,18-Dec,-7.85,-4.32,1.0,0.0,0.0
(주)국순당,43650,19-Dec,-4.32,,1.0,0.0,0.0
(주)국영지앤엠,6050,11-Dec,-170.81,-4.57,1.0,0.0,0.0
(주)국영지앤엠,6050,12-Dec,-4.57,2.35,1.0,0.0,0.0
(주)국영지앤엠,6050,13-Dec,2.35,5.13,0.0,0.0,0.0
(주)국영지앤엠,6050,14-Dec,5.13,-15.79,0.0,0.0,0.0
(주)국영지앤엠,6050,15-Dec,-15.79,3.4,1.0,0.0,0.0
(주)국영지앤엠,6050,16-Dec,3.4,17.57,0.0,0.0,0.0
(주)국영지앤엠,6050,17-Dec,17.57,-18.31,0.0,0.0,0.0
(주)국영지앤엠,6050,18-Dec,-18.31,15.75,1.0,0.0,0.0
(주)국영지앤엠,6050,19-Dec,15.75,,0.0,0.0,0.0
(주)그래디언트,35080,11-Dec,-48.06,1.38,1.0,0.0,0.0
(주)그래디언트,35080,12-Dec,1.38,7.5,0.0,1.0,0.0
(주)그래디언트,35080,13-Dec,7.5,14.81,0.0,0.0,1.0
(주)그래디언트,35080,14-Dec,14.81,26.27,0.0,0.0,0.0
(주)그래디언트,35080,15-Dec,26.27,13.02,0.0,0.0,0.0
(주)그래디언트,35080,16-Dec,13.02,13.33,0.0,0.0,0.0
(주)그래디언트,35080,17-Dec,13.33,8.44,0.0,0.0,0.0
(주)그래디언트,35080,18-Dec,8.44,10.13,0.0,0.0,0.0
(주)그래디언트,35080,19-Dec,10.13,,0.0,0.0,0.0
(주)금호에이치티,214330,15-Dec,20.53,11.57,0.0,0.0,0.0
(주)금호에이치티,214330,16-Dec,11.57,7.78,0.0,0.0,0.0
