총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결)
1.387657571,1.283477545,439.5144656,306.588272,19.21514474,12.1245775,2.489729565,2.302587617,25.97415372,46.71323956,1.387657571,1.283477545,2.288736958,3.243082518,inf,2.270354625
1.227725556,1.10824105,283.0953786,227.3372896,20.11294526,10.89595063,1.742924291,1.887664268,21.10960894,32.2473644,1.227725556,1.10824105,2.134267283,2.888824021,inf,2.036484931
1.203394515,1.116259616,663.256975,967.3075033,18.94553652,24.94694977,1.949392616,2.169535687,24.13513037,34.0331454,1.203394515,1.116259616,2.497129449,3.522666256,inf,2.02771774
1.201889664,1.148436877,inf,inf,19.47439989,22.57132566,2.176230931,2.476448646,25.05448571,37.45506938,1.201889664,1.148436877,2.93406828,4.163973613,inf,1.946661129
1.124905109,1.135019375,inf,80.65862651,20.65682522,9.195215992,2.214608282,2.550049858,32.17834005,28.86591608,1.124905109,1.135019375,3.195828544,4.020393728,inf,1.816826997
1.125215253,1.186815559,inf,39.69026343,19.55384596,6.986721177,2.33817695,2.621235674,26.25422129,18.74184259,1.125215253,1.186815559,3.166889467,3.670176734,inf,1.839546752
1.13230719,1.20259741,inf,35.95173163,19.12782819,6.519749349,2.359520163,2.722699687,26.37968869,22.82215373,1.13230719,1.20259741,2.999340334,3.639528244,inf,1.78576619
1.121166264,1.190518841,inf,32.70732947,19.09644451,6.521374628,1.816180391,2.205847981,30.42457704,35.26811753,1.121166264,1.190518841,2.408990164,2.90200306,inf,1.798323101
,,,,,,,,,,,,,,,
0.038123943,,0.125720126,,3.594434375,,0.240139262,,4.202342488,,0.038123943,,0.059751265,,inf,
0.226437972,,2.081911307,,31.38807394,,0.653060758,,7.118244324,,0.226437972,,0.24350602,,inf,
