,회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),0,1
299,(주)국보,1140,Dec-16,39652037,39656965,-1.88,-1.9
300,(주)국보,1140,Dec-17,39364721,39367793,-0.72,-0.73
301,(주)국보,1140,Dec-18,16527335,16528936,-58.01,-58.01
302,(주)국보,1140,Dec-19,7137358,11466461,-56.81,-30.63
303,(주)국보디자인,66620,Dec-11,1453461,1463106,-87.24,
304,(주)국보디자인,66620,Dec-12,2230621,2235492,53.47,52.79
305,(주)국보디자인,66620,Dec-13,2190348,2192604,-1.81,-1.92
306,(주)국보디자인,66620,Dec-14,2596263,2596797,18.53,18.43
307,(주)국보디자인,66620,Dec-15,6908270,6944107,166.09,167.41
308,(주)국보디자인,66620,Dec-16,7420242,7447948,7.41,7.26
309,(주)국보디자인,66620,Dec-17,7245407,7534909,-2.36,1.17
310,(주)국보디자인,66620,Dec-18,7072221,7133198,-2.39,-5.33
311,(주)국보디자인,66620,Dec-19,8367291,8402801,18.31,17.8
312,(주)국순당,43650,Dec-11,77006392,84687109,907.84,
313,(주)국순당,43650,Dec-12,74415222,82475314,-3.36,-2.61
314,(주)국순당,43650,Dec-13,71314218,79653462,-4.17,-3.42
315,(주)국순당,43650,Dec-14,63633133,72019399,-10.77,-9.58
316,(주)국순당,43650,Dec-15,60756894,69161477,-4.52,-3.97
317,(주)국순당,43650,Dec-16,56088957,64894851,-7.68,-6.17
318,(주)국순당,43650,Dec-17,49398687,58039640,-11.93,-10.56
319,(주)국순당,43650,Dec-18,58144452,66740222,17.7,14.99
320,(주)국순당,43650,Dec-19,45386881,78685882,-21.94,17.9
321,(주)국영지앤엠,6050,Dec-11,31308145,15975328.46,-79.7,
322,(주)국영지앤엠,6050,Dec-12,32061920,15975328.46,2.41,
323,(주)국영지앤엠,6050,Dec-13,31747733,15975328.46,-0.98,
324,(주)국영지앤엠,6050,Dec-14,32414094,15975328.46,2.1,
325,(주)국영지앤엠,6050,Dec-15,31600586,15975328.46,-2.51,
326,(주)국영지앤엠,6050,Dec-16,31778265,15975328.46,0.56,
327,(주)국영지앤엠,6050,Dec-17,31770240,15975328.46,-0.03,
328,(주)국영지앤엠,6050,Dec-18,30512052,15975328.46,-3.96,
329,(주)국영지앤엠,6050,Dec-19,31059486,15975328.46,1.79,
330,(주)국전약품,307750,Dec-18,15975328.46,15975328.46,0,
331,(주)국전약품,307750,Dec-19,15975328.46,15975328.46,,
332,(주)그래디언트,35080,Dec-11,1053189,43073285,169.62,
333,(주)그래디언트,35080,Dec-12,544723,51883877,-48.28,20.45
334,(주)그래디언트,35080,Dec-13,331316,59554095,-39.18,14.78
335,(주)그래디언트,35080,Dec-14,452405,58029509,36.55,-2.56
336,(주)그래디언트,35080,Dec-15,381565,56944366,-15.66,-1.87
337,(주)그래디언트,35080,Dec-16,340527,57343683,-10.76,0.7
338,(주)그래디언트,35080,Dec-17,396437,58978788,16.42,2.85
339,(주)그래디언트,35080,Dec-18,246356,66689968,-37.86,13.07
340,(주)그래디언트,35080,Dec-19,2819233,134794282,1044.37,102.12
341,(주)그리티,204020,Dec-18,564992,871796,-99.35,
342,(주)그리티,204020,Dec-19,2197445,2969620,288.93,240.63
343,(주)그린플러스,186230,Dec-19,17300012,32154120,982.77,
344,(주)글로벌스탠다드테크놀로지,83450,Dec-11,12023834,14216552,,
345,(주)글로벌스탠다드테크놀로지,83450,Dec-12,15426808,17288952,28.3,21.61
346,(주)글로벌스탠다드테크놀로지,83450,Dec-13,15695611,19295210,1.74,11.6
347,(주)글로벌스탠다드테크놀로지,83450,Dec-14,15819399,19325095,0.79,0.15
348,(주)글로벌스탠다드테크놀로지,83450,Dec-15,19974231,23552630,26.26,21.88
349,(주)글로벌스탠다드테크놀로지,83450,Dec-16,22575187,26226965,13.02,11.35
350,(주)글로벌스탠다드테크놀로지,83450,Dec-17,28387085,34287696,25.74,30.73
351,(주)글로벌스탠다드테크놀로지,83450,Dec-18,31327306,38601941,10.36,12.58
352,(주)글로벌스탠다드테크놀로지,83450,Dec-19,29774088,38458654,-4.96,-0.37
353,(주)금비,8870,Sep-11,33684268,120536685,213.42,
354,(주)금비,8870,Sep-12,33385290,120094550,-0.89,-0.37
355,(주)금비,8870,Sep-13,35596598,123102243,6.62,2.5
356,(주)금비,8870,Sep-14,44581238,127524447,25.24,3.59
357,(주)금비,8870,Sep-15,42769718,124166757,-4.06,-2.63
358,(주)금비,8870,Sep-16,49550563,128792424,15.85,3.73
359,(주)금비,8870,Sep-17,47186559,125836181,-4.77,-2.3
360,(주)금비,8870,Sep-18,47371569,126619168,0.39,0.62
361,(주)금비,8870,Sep-19,46877531,128141669,-1.04,1.2
362,(주)금양,1570,Dec-11,23407730,42139919,-67.11,
363,(주)금양,1570,Dec-12,23401226,42998812,-0.03,2.04
364,(주)금양,1570,Dec-13,23186038,42071460,-0.92,-2.16
365,(주)금양,1570,Dec-14,23087543,37202354,-0.42,-11.57
366,(주)금양,1570,Dec-15,24649981,37772375,6.77,1.53
367,(주)금양,1570,Dec-16,25256350,50960603,2.46,34.92
368,(주)금양,1570,Dec-17,25514623,49447446,1.02,-2.97
369,(주)금양,1570,Dec-18,25664622,48579379,0.59,-1.76
370,(주)금양,1570,Dec-19,30964168,56212957,20.65,15.71
371,(주)금호에이치티,214330,Dec-15,25050361,35130436,-37.5,
372,(주)금호에이치티,214330,Dec-16,52902194,61937855,111.18,76.31
