,회사명,거래소코드,회계년도,노동장비율(개별),노동장비율(연결),기계장비율(개별),기계장비율(연결),자본집약도(개별),자본집약도(연결),노동소득분배율(개별),노동소득분배율(연결),설비투자효율(개별),설비투자효율(연결),총자본투자효율(개별),총자본투자효율(연결),기계투자효율(개별),기계투자효율(연결),부가가치율(개별),부가가치율(연결)
8626,(주)한네트,52600,15-Dec,245210.3676,,636307.8088,,1045271.368,,0.000262917,,78.81743797,,0.184897946,,0.303734335,,0.46555084,
8627,(주)한네트,52600,16-Dec,234385.3385,,694559.9846,,1072305.108,,0.00025568,,89.6820338,,0.196027732,,0.302639863,,0.473605319,
8628,(주)한네트,52600,17-Dec,216155.4394,,694685.5152,,1173086.864,,0.000274686,,85.13444204,,0.156870504,,0.264900769,,0.4399701,
8629,(주)한네트,52600,18-Dec,182420.0411,,620738.6027,,921202.0411,,0.000302525,,90.19819755,,0.178614008,,0.265070657,,0.442082535,
8630,(주)한네트,52600,19-Dec,146844.2927,,548084.4512,,777573.439,,0.000340619,,93.49043354,,0.176556141,,0.250482139,,0.433842572,
8631,(주)한농화성,11500,11-Dec,327420.176,,391999.12,,961035.264,,0,,33.46190859,,0.114003142,,0.279493076,,0.066336293,
8632,(주)한농화성,11500,12-Dec,377445.7059,,414624.2605,,1083080.504,,0.000313512,,56.99242536,,0.198614472,,0.518820249,,0.121206113,
8633,(주)한농화성,11500,13-Dec,375557.9841,,418135.8413,,1039004.063,,0.000354107,,52.50614821,,0.189788509,,0.471595621,,0.110734436,
8634,(주)한농화성,11500,14-Dec,434657.8601,,434221.028,,1041680.112,,0.000360322,,42.47660494,,0.177240498,,0.42519337,,0.121231498,
8635,(주)한농화성,11500,15-Dec,420072.4452,,450284.2945,,962177.9452,,0.000357232,,45.75640956,,0.199765615,,0.426863808,,0.139619272,
8636,(주)한농화성,11500,16-Dec,378985.3375,,418069.9188,,981621,,0.000372336,,47.06717381,,0.181717473,,0.42666951,,0.139232301,
8637,(주)한농화성,11500,17-Dec,392569.4259,,455093.9321,,1020229.506,,0.00039673,,46.86894496,,0.180344861,,0.404297081,,0.126142245,
8638,(주)한농화성,11500,18-Dec,411579.3659,,490433.8841,,990821.2622,,0.000459384,,38.72223856,,0.160849136,,0.32496275,,0.11709443,
8639,(주)한농화성,11500,19-Dec,393221.6587,,487361.2216,,978182.3832,,0.000371797,,50.77753452,,0.204121713,,0.409692554,,0.162899215,
8640,(주)한독,2390,11-Dec,159077.0744,159082.2872,56164.94517,56164.94517,532761.8512,532915.0862,0.000606643,0.000607791,66.06395758,66.3019595,0.197260015,0.197920225,1.871142412,1.877944923,0.241814891,0.242497706
8641,(주)한독,2390,12-Dec,176733.0253,176733.0253,59428.176,59428.176,581853.744,581857.496,0.000704664,0.000704447,55.64975372,55.66759607,0.169031298,0.169084402,1.654964025,1.655494637,0.234433436,0.234507598
8642,(주)한독,2390,13-Dec,172425.9802,172425.9802,61756.02774,61756.02774,630376.9115,625533.9657,0.000616178,0.000644468,63.98432588,61.17559284,0.175015295,0.168628118,1.786475023,1.708053763,0.254673112,0.243493483
8643,(주)한독,2390,14-Dec,145557.1253,,55728.38803,,571493.3647,,0.000755197,,60.80346827,,0.154864056,,1.588127409,,0.229192964,
8644,(주)한독,2390,15-Dec,144027.8347,144407.4111,58520.29105,59069.72367,609640.3126,600891.5934,0.000754614,0.000802651,65.64564113,61.71714662,0.155088162,0.148319821,1.615644655,1.508795506,0.232890526,0.21954836
8645,(주)한독,2390,16-Dec,138472.3697,139288.6437,59128.57016,60092.33408,705423.1826,693595.7194,0.000759946,0.000893575,70.35769592,60.33881094,0.138109962,0.121173054,1.64769702,1.398599549,0.220789608,0.19052267
8646,(주)한독,2390,17-Dec,158293.8048,159021.8816,73249.26754,74272.42544,727677.5252,701037.4002,0.000632858,0.000705718,75.12881159,69.41492715,0.163429885,0.157459393,1.623555544,1.486216757,0.262326804,0.240857111
8647,(주)한독,2390,18-Dec,177047.4857,177781.9331,83718.79715,84792.36404,755930.4485,715587.8586,0.000600441,0.000682371,74.30829945,66.72417642,0.174038466,0.165770743,1.571462806,1.398988365,0.272629253,0.242169561
8648,(주)한독,2390,19-Dec,167551.468,167786.6548,78241.26758,78320.41763,793039.7975,785589.9538,0.00065074,0.000508615,73.983137,96.90933651,0.156309724,0.206979396,1.584328014,2.076098913,0.253287658,0.327608155
8649,(주)한독크린텍,256150,19-Dec,95659.93651,,48432.52381,,219385.8836,,0.000570035,,92.30946395,,0.402501625,,1.823220589,,0.345112181,
8650,(주)한라,14790,11-Dec,11417.75351,300064.3852,30.05716963,3563.519213,2133592.849,2649781.993,0.001309808,0.000555737,677.5835294,63.35080245,0.036260347,0.071739183,2573.922235,53.34423207,0.048961171,0.117341572
8651,(주)한라,14790,12-Dec,6951.423428,250592.7523,17.23320795,40126.37184,1249897.989,1692474.667,0.001854497,-0.002315391,852.7701137,-12.84394989,0.0474276,-0.019017128,3439.850644,-0.802116066,0.058884002,-0.030154893
8652,(주)한라,14790,13-Dec,17823.34067,206852.6578,24.33308042,39649.00835,1445128.036,1990433.307,-0.000467701,-0.000699492,-1138.65282,-88.64148545,-0.140434596,-0.092119273,-8340.332076,-4.624510832,-0.182525122,-0.120668041
8653,(주)한라,14790,14-Dec,14665.98435,208865.6307,25.09467919,41864.87559,1184791.836,1631267.416,0.000470786,0.001256646,1685.079193,58.54543079,0.208588077,0.074960906,9848.041845,2.920856244,0.22434708,0.082108288
8654,(주)한라,14790,15-Dec,16356.89889,433216.6761,25.33254344,34573.63191,1159544.077,1805248.533,0.000600727,0.001017632,1158.339013,32.82936475,0.163398999,0.078782661,7479.246671,4.113605511,0.177233025,0.097049741
8655,(주)한라,14790,16-Dec,20813.8841,509209.1944,30.71934866,33943.83238,1122637.244,1986478.222,0.00048424,0.000689844,1318.840923,48.93457372,0.244515334,0.125437745,8935.802127,7.34093151,0.210994299,0.142013224
8656,(주)한라,14790,17-Dec,11935.38627,472437.498,31.44215686,30758.55588,1096045.412,2170687.793,0.000426783,0.0004732,2402.48646,78.08656536,0.261618758,0.169950841,9119.795454,11.99374304,0.201062735,0.195921806
8657,(주)한라,14790,18-Dec,10074.42764,230196.2297,29.9449113,1234.297852,1068764.758,1674839.833,0.000559301,0.000625157,1989.759319,98.50392246,0.187559387,0.135387463,6694.187896,183.7095602,0.184239085,0.183839685
8658,(주)한라,14790,19-Dec,91175.85354,210020.9627,29.91697761,1139.050373,1099036.709,1481517.763,0.000742012,0.00067331,186.1434023,103.4908065,0.154424174,0.146709269,5672.960619,190.8189429,0.151805516,0.17856048
8659,(주)한라홀딩스,60980,11-Dec,162247.3472,282434.2455,60187.21608,130431.549,606693.7755,829401.8339,0.000621791,0.000576709,107.5891598,86.17489662,0.287724326,0.293449338,2.900292937,1.866016474,0.256041329,0.221070763
8660,(주)한라홀딩스,60980,12-Dec,207771.5162,355104.6486,188552.4282,149521.3321,677705.605,962484.9776,0.000664208,0.000614906,81.97746319,70.17236742,0.25132715,0.258897899,0.903333995,1.666553764,0.227341931,0.206469045
8661,(주)한라홀딩스,60980,13-Dec,238626.5713,422279.4696,203418.3903,347265.1701,852656.9368,1201119.376,0.000700727,0.000606029,68.95288404,64.71749824,0.192973159,0.227528349,0.808874275,0.786974139,0.217483936,0.205044925
8662,(주)한라홀딩스,60980,14-Dec,4861.615385,9975133.462,0,6233484.538,95965697.23,129187357.6,0.000915329,0.000554926,3905.79263,117.015932,0.001978672,0.090353233,,1.872547419,0.255706921,0.165178795
