회사명,거래소코드,회계년도,이자보상배율
네오위즈,95660,Dec-11,16.86
네오위즈,95660,Dec-12,12.72
네오위즈,95660,Dec-13,10.3
네오위즈,95660,Dec-14,5
네오위즈,95660,Dec-15,4.15
네오위즈,95660,Dec-16,31.06
네오위즈,95660,Dec-17,81.79
네오위즈,95660,Dec-18,590.79
네오위즈,95660,Dec-19,296.81
네오위즈홀딩스,42420,Dec-11,29.73
네오위즈홀딩스,42420,Dec-12,20.9
네오위즈홀딩스,42420,Dec-13,17.47
네오위즈홀딩스,42420,Dec-14,17.44
네오위즈홀딩스,42420,Dec-15,196.79
네오위즈홀딩스,42420,Dec-16,452.43
네오위즈홀딩스,42420,Dec-17,58.57
네오위즈홀딩스,42420,Dec-18,248.6
네오위즈홀딩스,42420,Dec-19,268.11
네오크레마,311390,Dec-19,3.38
네오티스,85910,Dec-11,61.44
네오티스,85910,Dec-12,33.52
네오티스,85910,Dec-13,7.82
네오티스,85910,Dec-14,6.55
네오티스,85910,Dec-15,4.06
네오티스,85910,Dec-16,5.32
네오티스,85910,Dec-17,7.31
네오티스,85910,Dec-18,6.77
네오티스,85910,Dec-19,4.37
네오팜,92730,Dec-11,37.77
네오팜,92730,Dec-12,28.19
네오팜,92730,Dec-13,188.23
네오팜,92730,Dec-14,629.34
네오팜,92730,Dec-15,8584.92
네오팜,92730,Dec-16,9212.39
네오팜,92730,Dec-17,9212.39
네오팜,92730,Dec-18,9212.39
네오팜,92730,Dec-19,1337.32
네오펙트,290660,Dec-18,-5.77
네오펙트,290660,Dec-19,-15.37
네온테크,306620,Dec-18,
네온테크,306620,Dec-19,
네이블커뮤니케이션즈,153460,Dec-12,71.34
네이블커뮤니케이션즈,153460,Dec-13,4.62
네이블커뮤니케이션즈,153460,Dec-14,126.65
네이블커뮤니케이션즈,153460,Dec-15,126.65
네이블커뮤니케이션즈,153460,Dec-16,126.65
네이블커뮤니케이션즈,153460,Dec-17,-454.29
네이블커뮤니케이션즈,153460,Dec-18,-454.29
네이블커뮤니케이션즈,153460,Dec-19,-454.29
네이처셀,7390,Dec-11,-1.42
네이처셀,7390,Dec-12,-0.67
네이처셀,7390,Dec-13,1.54
네이처셀,7390,Dec-14,-2.98
네이처셀,7390,Dec-15,-2.61
네이처셀,7390,Dec-16,-7.91
네이처셀,7390,Dec-17,-0.81
네이처셀,7390,Dec-18,7.8
네이처셀,7390,Dec-19,8.3
네패스,33640,Dec-11,3.47
네패스,33640,Dec-12,7.99
네패스,33640,Dec-13,-0.1
네패스,33640,Dec-14,0.66
네패스,33640,Dec-15,0.42
네패스,33640,Dec-16,1.36
네패스,33640,Dec-17,3.32
네패스,33640,Dec-18,4.79
네패스,33640,Dec-19,11.65
넥센,5720,Dec-11,3.15
넥센,5720,Dec-12,5.24
넥센,5720,Dec-13,26.31
넥센,5720,Dec-14,32.06
넥센,5720,Dec-15,39.55
넥센,5720,Dec-16,80.13
넥센,5720,Dec-17,75.08
넥센,5720,Dec-18,12.87
넥센,5720,Dec-19,10.21
넥스턴바이오사이언스,89140,Dec-11,40.44
넥스턴바이오사이언스,89140,Dec-12,158.14
넥스턴바이오사이언스,89140,Dec-13,284.57
넥스턴바이오사이언스,89140,Dec-14,2169.07
넥스턴바이오사이언스,89140,Dec-15,7799.11
넥스턴바이오사이언스,89140,Dec-16,97436.72
넥스턴바이오사이언스,89140,Dec-17,1532.55
넥스턴바이오사이언스,89140,Dec-18,-624.03
넥스턴바이오사이언스,89140,Dec-19,2394.07
넥스트아이,137940,Dec-11,17771.19
넥스트아이,137940,Dec-12,4655.9
넥스트아이,137940,Dec-13,17771.19
넥스트아이,137940,Dec-14,102.65
넥스트아이,137940,Dec-15,100.62
넥스트아이,137940,Dec-16,6.38
넥스트아이,137940,Dec-17,0.84
넥스트아이,137940,Dec-18,5.06
넥스트아이,137940,Dec-19,3.95
넥스트엔터테인먼트월드,160550,Dec-14,13.68
넥스트엔터테인먼트월드,160550,Dec-15,-5.5
넥스트엔터테인먼트월드,160550,Dec-16,14.66
넥스트엔터테인먼트월드,160550,Dec-17,-6.92
넥스트엔터테인먼트월드,160550,Dec-18,-6.46
넥스트엔터테인먼트월드,160550,Dec-19,-3.05
넥슨게임즈,225570,Dec-15,12.43
넥슨게임즈,225570,Dec-16,-2.22
넥슨게임즈,225570,Dec-17,-62.24
넥슨게임즈,225570,Dec-18,-236.72
넥슨게임즈,225570,Dec-19,-30.19
넵튠,217270,Dec-15,-3.35
넵튠,217270,Dec-16,-58.73
넵튠,217270,Dec-17,-51.27
넵튠,217270,Dec-18,-48.7
