,Unnamed: 0,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,한계기업
1879,1879,(주)멜파스,96640,15-Dec,-4.57,77777777.77,-4.57,1.0
1946,1946,(주)모베이스전자,12860,19-Dec,0.62,0.82,0.82,1.0
1954,1954,(주)모아텍,33200,14-Dec,-240.53,-26.09,-26.09,1.0
1995,1995,(주)미래아이앤지,7120,15-Dec,-3.06,-3.16,-3.16,1.0
2024,2024,(주)바른손,18700,13-Mar,-6.7,-8.53,-8.53,1.0
2034,2034,(주)바른손이앤에이,35620,14-Dec,-8.99,-9.87,-9.87,1.0
2040,2040,(주)바른전자,64520,11-Dec,-6.99,-7.08,-7.08,1.0
2060,2060,(주)바이오니아,64550,13-Dec,-2.93,-1.5,-1.5,1.0
2067,2067,(주)바이오로그디바이스,208710,14-Dec,-2.43,77777777.77,-2.43,1.0
2087,2087,(주)바이오톡스텍,86040,14-Dec,-6.77,-8.78,-8.78,1.0
2117,2117,(주)백금티앤에이,46310,15-Dec,1.01,0.74,0.74,1.0
2140,2140,(주)베노홀딩스,206400,14-Dec,-2043.63,77777777.77,-2043.63,1.0
2234,2234,(주)브이티지엠피,18290,13-Dec,0.48,77777777.77,0.48,1.0
2246,2246,(주)블루베리엔에프티,44480,16-Dec,77777777.77,-30.94,-30.94,1.0
2264,2264,(주)비덴트,121800,17-Dec,-4.83,-6.15,-6.15,1.0
2272,2272,(주)비보존헬스케어,82800,16-Dec,0.79,77777777.77,0.79,1.0
2279,2279,(주)비비안,2070,14-Dec,-7.97,-8.39,-8.39,1.0
2319,2319,(주)비엔지티,32790,13-Dec,-10.7,-2.48,-2.48,1.0
2326,2326,(주)비엘,142760,16-Dec,-89.65,77777777.77,-89.65,1.0
2387,2387,(주)비츠로시스,54220,19-Mar,-5.95,77777777.77,-5.95,1.0
2399,2399,(주)비케이홀딩스,50090,13-Dec,0.76,0.88,0.88,1.0
2406,2406,(주)비투엔,307870,18-Dec,-2.47,77777777.77,-2.47,1.0
2601,2601,(주)삼표시멘트,38500,13-Dec,0.19,-0.07,-0.07,1.0
2622,2622,(주)상보,27580,16-Dec,-3.79,-3.63,-3.63,1.0
2643,2643,(주)상상인인더스트리,101000,19-Dec,-0.75,-0.79,-0.79,1.0
2655,2655,(주)상지카일룸,42940,13-Dec,-4.34,77777777.77,-4.34,1.0
2682,2682,(주)서부티엔디,6730,13-Dec,0.9,0.9,0.9,1.0
2726,2726,(주)서울리거,43710,15-Dec,-20.16,-20.21,-20.21,1.0
2731,2731,(주)서울옥션,63170,11-Dec,-7.27,-6.08,-6.08,1.0
2746,2746,(주)서울제약,18680,17-Dec,-3.14,77777777.77,-3.14,1.0
2751,2751,(주)서원,21050,13-Dec,0.63,-0.32,-0.32,1.0
2784,2784,(주)서진오토모티브,122690,19-Dec,-1.37,0.31,0.31,1.0
2832,2832,(주)선앤엘,2820,19-Dec,-4.01,-2.47,-2.47,1.0
2866,2866,(주)성안,11300,14-Dec,-5.1,77777777.77,-5.1,1.0
2893,2893,(주)세동,53060,13-Dec,0.8,0.82,0.82,1.0
