0,회사명,거래소코드,회계년도,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
429,뉴인텍,12340,18-Dec,0,0,0,0,0,0
430,뉴인텍,12340,19-Dec,0,0,0,0,0,1
431,뉴프렉스,85670,11-Dec,0,0,0,0,0,0
432,뉴프렉스,85670,12-Dec,0,0,0,0,0,0
433,뉴프렉스,85670,13-Dec,0,0,0,0,0,1
434,뉴프렉스,85670,14-Dec,0,0,0,0,0,0
435,뉴프렉스,85670,15-Dec,0,0,0,0,0,0
436,뉴프렉스,85670,16-Dec,0,0,0,0,0,0
437,뉴프렉스,85670,17-Dec,0,0,0,0,0,1
438,뉴프렉스,85670,18-Dec,0,0,0,0,0,1
439,뉴프렉스,85670,19-Dec,0,0,0,0,0,0
440,다날,64260,11-Dec,0,0,0,0,0,0
441,다날,64260,12-Dec,0,0,0,0,0,0
442,다날,64260,13-Dec,0,0,0,0,0,0
443,다날,64260,14-Dec,0,0,0,0,0,0
444,다날,64260,15-Dec,0,0,0,1,0,1
445,다날,64260,16-Dec,0,0,0,0,0,1
446,다날,64260,17-Dec,0,0,0,0,0,0
447,다날,64260,18-Dec,1,0,0,0,0,0
448,다날,64260,19-Dec,1,0,0,0,0,0
449,다산네트웍스,39560,11-Dec,0,0,0,0,0,0
450,다산네트웍스,39560,12-Dec,0,0,0,0,0,0
451,다산네트웍스,39560,13-Dec,0,0,0,0,0,1
452,다산네트웍스,39560,14-Dec,0,0,0,0,0,0
453,다산네트웍스,39560,15-Dec,0,0,0,0,0,1
454,다산네트웍스,39560,16-Dec,0,0,0,0,0,0
455,다산네트웍스,39560,17-Dec,0,0,0,0,0,0
